id,英文术语,当前中文译名（游戏）,教材/旧词库原译,音标,词典说明/卡片释义,出现章节,教材频次,来源,审查类型,词典依据
845,economic class,经济阶层,经济阶层,ˌɛkəˈnɑmɪk klæs,,14,1,textbook,,
846,municipal bond,市政债券,市政债券,mjuˈnɪsəpəl bɑnd,,14,1,textbook,,
847,tax shelter,避税工具,避税工具,tæks ˈʃɛltər,,14,1,textbook,,
848,wealthy investor,富裕投资者,富裕投资者,ˈwɛlθi ˌɪnˈvɛstər,,14,1,textbook,,
849,tax break,减税,减税,tæks breɪk,,14,1,textbook,,
850,tax incentive,税收优惠,税收优惠,tæks ˌɪnˈsɛnɪv,,14,1,textbook,,
851,gideon v. wainwright,吉迪恩诉温赖特案,吉迪恩诉温赖特案,ˈgɪdiən vi. ˈweɪnˌraɪt,,14,2,textbook,,
852,decision,判决,判决,dɪˈsɪʒən,,"3,14",4,textbook,,
853,capital offense,死罪,死罪,ˈkæpɪtəl əˈfɛns,,"7,14",2,textbook,,
854,plead guilty,认罪,认罪,plid ˈgɪlti,,14,1,textbook,,
855,indigent defendant,贫困被告人,贫困被告人,ˈɪndɪʤənt dɪˈfɛndənt,,14,1,textbook,,
856,medical profession,医疗行业,医疗行业,ˈmɛdɪkəl prəˈfɛʃən,,14,1,textbook,,
857,insurance premium,保费,保费,ˌɪnˈʃʊrəns ˈprimiəm,,14,1,textbook,,
858,physician,医生,医生,fəˈzɪʃən,,14,5,textbook,,
859,insurance industry,保险业,保险业,ˌɪnˈʃʊrəns ˈɪndəstri,,14,1,textbook,,
860,cap,上限,上限,kæp,,14,1,textbook,,
861,tort reform,侵权法改革,侵权法改革,tɔrt rɪˈfɔrm,,14,2,textbook,,
862,insurance company,保险公司,保险公司,ˌɪnˈʃʊrəns ˈkəmpəˌni,,14,2,textbook,,
863,contingency fee,风险代理收费；风险代理费,风险代理收费；风险代理费,kənˈtɪnʤənsi fi,,"4,14",3,textbook,,
864,large award,高额赔偿,高额赔偿,lɑrʤ əˈwɔrd,,14,2,textbook,,
865,gross negligence,重大过失,重大过失,groʊs ˈnɛglɪʤəns,,14,1,textbook,,
866,jury system,陪审团制度,陪审团制度,ˈʤʊri ˈsɪstəm,,14,1,textbook,,
867,abuse,滥用,滥用,əˈbjuz,,14,1,textbook,,
868,economic self-interest,经济私利,经济私利,ˌɛkəˈnɑmɪk ˌsɛlˈfɪntəˌrɛst,,14,1,textbook,,
869,economic determinist,经济决定论者,经济决定论者,ˌɛkəˈnɑmɪk dɪˈtərmənəst,,14,1,textbook,,
870,conviction,定罪,定罪,kənˈvɪkʃən,,14,1,textbook,,
871,religion,宗教,宗教,rɪˈlɪʤən,,14,1,textbook,,
872,philosophy,哲学,哲学,fəˈlɑsəfi,,14,1,textbook,,
873,retribution,报应,报应,ˌrɛtrəˈbjuʃən,,"7,14",6,textbook,,
874,get even,报复,报复,gɪt ˈivɪn,,14,1,textbook,,
875,revenge,复仇,复仇,riˈvɛnʤ,,14,1,textbook,,
876,avenger,复仇者,复仇者,əˈvɛnʤər,,14,1,textbook,,
877,civil case,民事案件,民事案件,ˈsɪvəl keɪs,,"3,14",2,textbook,,
878,avarice,贪婪,贪婪,ˈævərəs,,14,1,textbook,,
879,civil suit,民事诉讼,民事诉讼,ˈsɪvəl sut,,"7,9,14",4,textbook,,
880,principle,原则,原则,ˈprɪnsəpəl,,14,2,textbook,,
881,poor,贫困,贫困,pur,,14,1,textbook,,
882,law of the jungle,丛林法则,丛林法则,lɔ əv ðə ˈʤəŋgəl,,14,1,textbook,,
883,hero,英雄,英雄,ˈhɪroʊ,,14,2,textbook,,
884,wrath,愤怒,愤怒,ræθ,,14,1,textbook,,
885,equalizer,平等者,平等者,ˈikwəˌlaɪzər,,14,1,textbook,,
886,code of hammurabi,汉谟拉比法典,汉谟拉比法典,,,2,1,textbook,,
887,personal injury,人身伤害,人身伤害,ˈpərsɪnəl ˈɪnʤəri,,2,1,textbook,,
888,witness,证人,证人,ˈwɪtnəs,,2,5,textbook,,
889,death penalty,死刑；强制死刑,死刑；强制死刑,dɛθ ˈpɛnəlti,,"2,7",25,textbook,,
890,restitution,返还；赔偿,返还；赔偿,ˌrɛstɪˈtuʃən,,"2,7",3,textbook,,
891,twelve tables,十二表法,十二表法,twɛlv ˈteɪbəlz,,2,1,textbook,,
892,corpus juris civilis,国法大全,国法大全,,,2,1,textbook,,
893,private law,私法,私法,ˈpraɪvət lɔ,,2,1,textbook,,
894,natural rights,自然权利,自然权利,ˈnæʧərəl raɪts,,2,1,textbook,,
895,public law,公法,公法,ˈpəblɪk lɔ,,2,2,textbook,,
896,codification,法典化,法典化,ˌkɑdəfəˈkeɪʃən,,2,2,textbook,,
897,inquisitorial process,纠问制,纠问制,,,2,1,textbook,,
898,matters of law,法律问题,法律问题,ˈmætərz əv lɔ,,2,1,textbook,,
899,napoleonic code,拿破仑法典,拿破仑法典,nəˌpoʊliˈɑnɪk koʊd,,2,1,textbook,,
900,islamic law,伊斯兰法,伊斯兰法,ˌɪzˈlɑmɪk lɔ,,2,5,textbook,,
901,adversarial,对抗制,对抗制,ˌædvərˈsɛriəl,,2,1,textbook,,
902,inquisitorial,纠问制,纠问制,,,2,1,textbook,,
903,exclusionary rule,排除规则；证据排除规则,排除规则；证据排除规则,ɪkˈskluʒəˌnɛri rul,,"2,4,7",32,textbook,,
904,customary law,习惯法,习惯法,ˈkəstəˌmɛri lɔ,,2,4,textbook,,
905,opinio juris,法律确信,法律确信,,,2,1,textbook,,
906,shariah,沙里亚法,沙里亚法,,,2,1,textbook,,
907,separation of powers,分权原则；分权,分权原则；分权,ˌsɛpərˈeɪʃən əv paʊərz,,"2,3,6,8",16,textbook,,
908,grand jury,大陪审团,大陪审团,grænd ˈʤʊri,,"2,4",4,textbook,,
909,oath,宣誓,宣誓,oʊθ,,"2,4",4,textbook,,
910,compurgation,共誓涤罪,共誓涤罪,,,2,2,textbook,,
911,ordeal,神明裁判,神明裁判,ɔrˈdil,,2,3,textbook,,
912,wergild,血金,血金,,,2,1,textbook,,
913,trial by combat,决斗审判,决斗审判,traɪəl baɪ ˈkɑmbæt,,2,1,textbook,,
914,appellate,上诉的；有关上诉的；受理上诉的,上诉,əˈpɛˌleɪt,《元照》：上诉的；有关上诉的；受理上诉的。教材该处搭配 appellate court，词库另有 appellate court＝上诉法院。,2,1,textbook,translation_correction,appellate a. 上诉的；有关上诉的；受理上诉的。
915,curia regis,王室法庭,王室法庭,,,2,2,textbook,,
916,writ,令状,令状,rɪt,,2,7,textbook,,
917,appellate jurisdiction,上诉管辖权,上诉管辖权,əˈpɛˌleɪt ˌʤʊrɪsˈdɪkʃən,,"2,6",2,textbook,,
918,exchequer,财政署,财政署,ˈɛksˌʧɛkər,,2,1,textbook,,
919,chancery,大法官署,大法官署,ˈʧænsəri,,2,6,textbook,,
920,chancellor,大法官,大法官,ˈʧænsələr,,2,7,textbook,,
921,sheriff,郡长,郡长,ˈʃɛrɪf,,2,1,textbook,,
922,courts of equity,衡平法院,衡平法院,kɔrts əv ˈɛkwəti,,2,1,textbook,,
923,specific relief,特定救济,特定救济,spɪˈsɪfɪk rɪˈlif,,2,2,textbook,,
924,substitutionary relief,替代救济,替代救济,,,2,2,textbook,,
925,restoration,恢复原状,恢复原状,ˌrɛstərˈeɪʃən,,2,2,textbook,,
926,reliance,信赖,信赖,rɪˈlaɪəns,,2,1,textbook,,
927,title by occupation,先占,先占,ˈtaɪtəl baɪ ˌɑkjəˈpeɪʃən,,2,1,textbook,,
928,administration,遗产管理,遗产管理,ædˌmɪnɪˈstreɪʃən,,2,1,textbook,,
929,riparian rights,河岸权,河岸权,,,2,1,textbook,,
930,magna carta,大宪章,大宪章,ˈmægnə ˈkɑrtə,,"2,3",2,textbook,,
931,freedom of speech,言论自由,言论自由,ˈfridəm əv spiʧ,,"2,3,6",13,textbook,,
932,uniform laws,统一法,统一法,ˈjunəˌfɔrm lɔz,,2,1,textbook,,
933,restatements,法律重述,法律重述,riˈsteɪtmənts,,2,1,textbook,,
934,stare decisis,遵循先例,遵循先例,,,"2,5,6",7,textbook,,
935,adversarial system,对抗制,对抗制,ˌædvərˈsɛriəl ˈsɪstəm,,2,1,textbook,,
936,law school,法学院,法学院,lɔ skul,,2,1,textbook,,
937,case at bar,系争案件,系争案件,keɪs æt bɑr,,2,1,textbook,,
938,liability,责任,责任,ˌlaɪəˈbɪlɪti,,"2,4",8,textbook,,
939,barrister,出庭律师,出庭律师,ˈbɛrɪstər,,2,3,textbook,,
940,solicitor,事务律师,事务律师,səˈlɪsətər,,2,3,textbook,,
941,bar association,律师协会,律师协会,bɑr əˌsoʊʃiˈeɪʃən,,2,3,textbook,,
942,disbarment,取消律师资格,取消律师资格,ˌdɪsˈbɑrmənt,,2,1,textbook,,
943,mixed jurisdictions,混合法域,混合法域,mɪkst ˌʤʊrɪsˈdɪkʃənz,,2,1,textbook,,
944,court organization,法院组织,法院组织,kɔrt ˌɔrgənəˈzeɪʃən,,3,1,textbook,,
945,federal courts,联邦法院,联邦法院,ˈfɛdərəl kɔrts,,3,1,textbook,,
946,district court,地区法院,地区法院,ˈdɪstrɪkt kɔrt,,3,2,textbook,,
947,superior court,高等法院；州高等法院,高等法院；州高等法院,suˈpɪriər kɔrt,,"3,8",4,textbook,,
948,courts of last resort,终审法院,终审法院,kɔrts əv læst rɪˈzɔrt,,3,1,textbook,,
949,civil appeals,民事上诉,民事上诉,ˈsɪvəl əˈpilz,,3,1,textbook,,
950,criminal appeals,刑事上诉,刑事上诉,ˈkrɪmənəl əˈpilz,,3,1,textbook,,
951,punishment,刑罚,刑罚,ˈpənɪʃmənt,,"3,7",25,textbook,,
952,interpretations,解释,解释,ˌɪnˌtərprɪˈteɪʃənz,,3,2,textbook,,
953,rulings,裁决,裁决,ˈrulɪŋz,,3,1,textbook,,
954,criminal procedural law,刑事程序法,刑事程序法,ˈkrɪmənəl prəˈsiʤərəl lɔ,,3,1,textbook,,
955,rules of civil procedure,民事诉讼规则,民事诉讼规则,rulz əv ˈsɪvəl prəˈsiʤər,,3,1,textbook,,
956,bar exams,律师资格考试,律师资格考试,bɑr ɪgˈzæmz,,3,1,textbook,,
957,licensed to practice,获准执业,获准执业,ˈlaɪsənst tɪ ˈpræktɪs,,3,1,textbook,,
958,federal court system,联邦法院系统,联邦法院系统,ˈfɛdərəl kɔrt ˈsɪstəm,,3,2,textbook,,
959,constitutional courts,宪法法院,宪法法院,ˌkɑnstəˈtuʃənəl kɔrts,,3,2,textbook,,
960,legislative courts,立法法院,立法法院,ˈlɛʤəsˌleɪtɪv kɔrts,,3,1,textbook,,
961,article iii courts,第三条法院,第三条法院,,,3,1,textbook,,
962,lifetime appointment,终身任职,终身任职,ˈlaɪfˌtaɪm əˈpɔɪntmənt,,3,1,textbook,,
963,impeachment process,弹劾程序,弹劾程序,ˌɪmˈpiʧmənt ˈprɔˌsɛs,,3,1,textbook,,
964,removal,免职,免职,rɪˈmuvəl,,3,1,textbook,,
965,legislative powers,立法权,立法权,ˈlɛʤəsˌleɪtɪv paʊərz,,3,1,textbook,,
966,militia,民兵,民兵,mɪˈlɪʃə,,3,1,textbook,,
967,military tribunals,军事法庭,军事法庭,ˈmɪlɪˌtɛri ˌtraɪˈbjunəlz,,3,1,textbook,,
968,confirmation,确认,确认,ˌkɑnfərˈmeɪʃən,,3,2,textbook,,
969,u.s. customs court,美国海关法院,美国海关法院,juz. ˈkəstəmz kɔrt,,3,1,textbook,,
970,courts of general jurisdiction,一般管辖权法院,一般管辖权法院,kɔrts əv ˈʤɛnərəl ˌʤʊrɪsˈdɪkʃən,,3,3,textbook,,
971,courts of specialized jurisdiction,特别管辖权法院,特别管辖权法院,kɔrts əv ˈspɛʃəˌlaɪzd ˌʤʊrɪsˈdɪkʃən,,3,1,textbook,,
972,judicial power,司法权,司法权,ʤuˈdɪʃəl paʊər,,3,2,textbook,,
973,cases of admiralty and maritime jurisdiction,海事和航海案件,海事和航海案件,ˈkeɪsɪz əv ˈædmərəlti ənd ˈmærəˌtaɪm ˌʤʊrɪsˈdɪkʃən,,3,1,textbook,,
974,federal question,联邦问题,联邦问题,ˈfɛdərəl kˈwɛʃən,,3,3,textbook,,
975,federal statute,联邦制定法,联邦制定法,ˈfɛdərəl ˈstæʧut,,3,1,textbook,,
976,general jurisdiction,一般管辖权,一般管辖权,ˈʤɛnərəl ˌʤʊrɪsˈdɪkʃən,,3,1,textbook,,
977,senior judges,资深法官,资深法官,ˈsinjər ˈʤəʤɪz,,3,1,textbook,,
978,magistrate judges,联邦治安法官,联邦治安法官,ˈmæʤɪˌstreɪt ˈʤəʤɪz,,3,1,textbook,,
979,search and arrest warrants,搜查令与逮捕令,搜查令与逮捕令,sərʧ ənd ərˈɛst ˈwɔrənts,,3,1,textbook,,
980,civil consent docket,民事合意案件表,民事合意案件表,ˈsɪvəl kənˈsɛnt ˈdɑkət,,3,1,textbook,,
981,criminal jurisdiction,刑事管辖权,刑事管辖权,ˈkrɪmənəl ˌʤʊrɪsˈdɪkʃən,,3,3,textbook,,
982,civil jurisdiction,民事管辖权,民事管辖权,ˈsɪvəl ˌʤʊrɪsˈdɪkʃən,,3,4,textbook,,
983,caseload,案件量,案件量,ˈkeɪsˌloʊd,,3,1,textbook,,
984,criminal cases,刑事案件,刑事案件,ˈkrɪmənəl ˈkeɪsɪz,,3,1,textbook,,
985,single judge,独任法官,独任法官,ˈsɪŋgəl ʤəʤ,,3,1,textbook,,
986,verdict,裁断；裁决,裁断；裁决,ˈvərdɪkt,,"3,4",25,textbook,,
987,review,审查,审查,ˌrivˈju,,3,1,textbook,,
988,general appellate jurisdiction,一般上诉管辖权,一般上诉管辖权,ˈʤɛnərəl əˈpɛˌleɪt ˌʤʊrɪsˈdɪkʃən,,3,1,textbook,,
989,u.s. courts of appeals,美国上诉法院,美国上诉法院,juz. kɔrts əv əˈpilz,,3,1,textbook,,
990,u.s. court of appeals for the fifth circuit,第五巡回区美国上诉法院,第五巡回区美国上诉法院,juz. kɔrt əv əˈpilz fər ðə fɪθ ˈsərkət,,3,1,textbook,,
991,u.s. court of appeals for the federal circuit,联邦巡回区美国上诉法院,联邦巡回区美国上诉法院,juz. kɔrt əv əˈpilz fər ðə ˈfɛdərəl ˈsərkət,,3,1,textbook,,
992,substantive jurisdiction,事项管辖权,事项管辖权,ˈsəbstəntɪv ˌʤʊrɪsˈdɪkʃən,,3,1,textbook,,
993,en banc,全院庭审,全院庭审,ɛn bæŋk,,"3,4",6,textbook,,
994,supreme court review,最高法院审查,最高法院审查,səˈprim kɔrt ˌrivˈju,,3,1,textbook,,
995,traffic citations,交通罚单,交通罚单,ˈtræfɪk saɪˈteɪʃənz,,3,1,textbook,,
996,you can't fight city hall,胳膊拧不过大腿,胳膊拧不过大腿,ju kænt faɪt ˈsɪti hɔl,,3,1,textbook,,
997,jury trial,陪审团审判,陪审团审判,ˈʤʊri traɪəl,,"3,7",2,textbook,,
998,bench trial,法官审判,法官审判,bɛnʧ traɪəl,,"3,4",2,textbook,,
999,courts of limited jurisdiction,有限管辖权法院,有限管辖权法院,kɔrts əv ˈlɪmɪtɪd ˌʤʊrɪsˈdɪkʃən,,3,1,textbook,,
1000,justice of the peace court,治安法官法院,治安法官法院,ˈʤəstɪs əv ðə pis kɔrt,,3,1,textbook,,
1001,justices of the peace,治安法官,治安法官,ˈʤəstɪsɪz əv ðə pis,,3,1,textbook,,
1002,coroner,验尸官,验尸官,ˈkɔrənər,,3,1,textbook,,
1003,misdemeanor,轻罪,轻罪,ˌmɪsdəˈminər,,"3,5,6,7",8,textbook,,
1004,petty theft,小额盗窃,小额盗窃,ˈpɛˌti θɛft,,3,1,textbook,,
1005,simple battery,普通殴打,普通殴打,ˈsɪmpəl ˈbætəri,,3,1,textbook,,
1006,small claims courts,小额诉讼法院,小额诉讼法院,smɔl kleɪmz kɔrts,,3,1,textbook,,
1007,licensed attorneys,执业律师,执业律师,ˈlaɪsənst əˈtərniz,,3,2,textbook,,
1008,amount in controversy,争议金额,争议金额,əˈmaʊnt ɪn ˈkɑntrəˌvərsi,,"3,4",3,textbook,,
1009,courts of appeal,上诉法院,上诉法院,kɔrts əv əˈpil,,3,1,textbook,,
1010,courts of record,记录法院,记录法院,kɔrts əv ˈrɛkərd,,3,1,textbook,,
1011,trial de novo,重新审理,重新审理,traɪəl də ˈnoʊvoʊ,,"3,4",2,textbook,,
1012,probate wills,遗嘱检验,遗嘱检验,ˈproʊˌbeɪt wɪlz,,3,1,textbook,,
1013,juvenile court,少年法院,少年法院,ˈʤuvəˌnaɪl kɔrt,,3,1,textbook,,
1014,general judicial power,一般司法权,一般司法权,ˈʤɛnərəl ʤuˈdɪʃəl paʊər,,3,1,textbook,,
1015,framers,制宪者,制宪者,ˈfreɪmərz,,3,1,textbook,,
1016,circuit courts,巡回法院,巡回法院,ˈsərkət kɔrts,,3,1,textbook,,
1017,judicial districts,司法区,司法区,ʤuˈdɪʃəl ˈdɪstrɪkts,,3,1,textbook,,
1018,concurrent jurisdiction,并存管辖权,并存管辖权,kənˈkərənt ˌʤʊrɪsˈdɪkʃən,,3,1,textbook,,
1019,the playmate and the oilman,花花女郎与石油大亨,花花女郎与石油大亨,ðə ˈpleɪˌmeɪt ənd ðə ˈɔɪlˌmæn,,3,1,textbook,,
1020,bankruptcy filings,破产申请,破产申请,ˈbæŋkrəptsi ˈfaɪlɪŋz,,3,1,textbook,,
1021,intermediate appeals court,中间上诉法院,中间上诉法院,ˌɪnərˈmidiɪt əˈpilz kɔrt,,3,1,textbook,,
1022,questions of law,法律问题,法律问题,kˈwɛsʧənz əv lɔ,,3,1,textbook,,
1023,written decisions,书面判决,书面判决,ˈrɪtən dɪˈsɪʒənz,,3,1,textbook,,
1024,court of last resort,终审法院,终审法院,kɔrt əv læst rɪˈzɔrt,,3,1,textbook,,
1025,state supreme court,州最高法院,州最高法院,steɪt səˈprim kɔrt,,3,1,textbook,,
1026,court of criminal appeals,刑事上诉法院,刑事上诉法院,kɔrt əv ˈkrɪmənəl əˈpilz,,3,1,textbook,,
1027,state statute,州制定法,州制定法,steɪt ˈstæʧut,,3,1,textbook,,
1028,attorney general,州总检察长；司法部长,州总检察长；司法部长,əˈtərni ˈʤɛnərəl,,3,2,textbook,,
1029,chief justice,首席法官,首席法官,ʧif ˈʤəstɪs,,3,1,textbook,,
1030,impeachment trials,弹劾审判,弹劾审判,ˌɪmˈpiʧmənt traɪəlz,,3,1,textbook,,
1031,judicial conduct board,司法行为委员会,司法行为委员会,ʤuˈdɪʃəl ˈkɑndəkt bɔrd,,3,1,textbook,,
1032,a man and a woman,一男一女,一男一女,ə mæn ənd ə ˈwʊmən,,3,1,textbook,,
1033,opinions,意见,意见,əˈpɪnjənz,,3,1,textbook,,
1034,moot,无实际意义,无实际意义,mut,,"3,6",2,textbook,,
1035,judicial selection,法官选任,法官选任,ʤuˈdɪʃəl səˈlɛkʃən,,3,1,textbook,,
1036,selection,选任,选任,səˈlɛkʃən,,3,1,textbook,,
1037,bench,审判席,审判席,bɛnʧ,,3,1,textbook,,
1038,organized bar,律师界,律师界,ˈɔrgəˌnaɪzd bɑr,,3,1,textbook,,
1039,selection of federal judges,联邦法官的选任,联邦法官的选任,səˈlɛkʃən əv ˈfɛdərəl ˈʤəʤɪz,,3,1,textbook,,
1040,nominee,被提名人,被提名人,ˌnɑməˈni,,3,1,textbook,,
1041,"federal bureau of investigation, fbi",联邦调查局,联邦调查局,"ˈfɛdərəl ˈbjʊroʊ əv ˌɪnˌvɛstəˈgeɪʃən, ˈɛfˈbiˈaɪ",,3,1,textbook,,
1042,background check,背景调查,背景调查,ˈbækˌgraʊnd ʧɛk,,3,1,textbook,,
1043,"american bar association, aba",律师协会,律师协会,"əˈmɛrɪkən bɑr əˌsoʊʃiˈeɪʃən, ˌeɪˌbiˈeɪ",,3,1,textbook,,
1044,"integrity, professional competence and judicial temperament",操守、职业能力与司法气质,操守、职业能力与司法气质,"ˌɪnˈtɛgrəti, prəˈfɛʃənəl ˈkɑmpətɪns ənd ʤuˈdɪʃəl ˈtɛmpərmənt",,3,1,textbook,,
1045,well-qualified,高度合格,高度合格,,,3,1,textbook,,
1046,qualified,合格,合格,kˈwɑləˌfaɪd,,3,1,textbook,,
1047,not qualified,不合格,不合格,nɑt kˈwɑləˌfaɪd,,3,1,textbook,,
1048,confirmation hearings,确认听证,确认听证,ˌkɑnfərˈmeɪʃən ˈhirɪŋz,,3,1,textbook,,
1049,scrutiny,审查,审查,ˈskrutəni,,3,1,textbook,,
1050,simple majority,简单多数,简单多数,ˈsɪmpəl məˈʤɔrəti,,3,1,textbook,,
1051,confirmed,确认,确认,kənˈfərmd,,3,1,textbook,,
1052,senatorial courtesy,参议员礼遇,参议员礼遇,ˌsɛnəˈtɔriəl ˈkərtəsi,,3,1,textbook,,
1053,personally obnoxious,个人厌恶,个人厌恶,ˈpərsənəli ɑbˈnɑkʃəs,,3,1,textbook,,
1054,merit selection,功绩遴选；功绩遴选制,功绩遴选；功绩遴选制,ˈmɛrət səˈlɛkʃən,,3,3,textbook,,
1055,veto,否决,否决,ˈviˌtoʊ,,3,1,textbook,,
1056,advice and consent,建议与同意,建议与同意,ədˈvaɪs ənd kənˈsɛnt,,3,1,textbook,,
1057,constitutional law,宪法法律；宪法学,宪法法律；宪法学,ˌkɑnstəˈtuʃənəl lɔ,,"3,6",22,textbook,,
1058,ideology,意识形态,意识形态,ˌaɪdiˈɑləʤi,,3,1,textbook,,
1059,representational qualities,代表性,代表性,ˌrɛprəzənˈteɪʃənəl kˈwɑlətiz,,3,1,textbook,,
1060,professional competence,职业能力,职业能力,prəˈfɛʃənəl ˈkɑmpətɪns,,3,2,textbook,,
1061,civil liberties,公民自由,公民自由,ˈsɪvəl ˈlɪbərˌtiz,,"3,4,6",14,textbook,,
1062,"equal rights amendment, era",平等权利修正案,平等权利修正案,"ˈikwəl raɪts əˈmɛndmənt, ˈɪrə",,3,1,textbook,,
1063,solicitor general,副检察长,副检察长,səˈlɪsətər ˈʤɛnərəl,,3,1,textbook,,
1064,selection of state judges,州法官的选任,州法官的选任,səˈlɛkʃən əv steɪt ˈʤəʤɪz,,3,1,textbook,,
1065,election,选举,选举,ɪˈlɛkʃən,,3,1,textbook,,
1066,appointment,任命,任命,əˈpɔɪntmənt,,3,1,textbook,,
1067,patronage,庇护,庇护,ˈpætrənɪʤ,,3,1,textbook,,
1068,popular vote,普选,普选,ˈpɑpjələr voʊt,,3,1,textbook,,
1069,partisan,党派,党派,ˈpɑrtəzən,,3,1,textbook,,
1070,nonpartisan,无党派,无党派,nɑnˈpɑrtəzən,,3,1,textbook,,
1071,jacksonian democracy,杰克逊民主,杰克逊民主,ʤækˈsoʊniən dɪˈmɑkrəsi,,3,1,textbook,,
1072,judicial independence,司法独立,司法独立,ʤuˈdɪʃəl ˌɪndɪˈpɛndəns,,3,1,textbook,,
1073,appointment method,任命制,任命制,əˈpɔɪntmənt ˈmɛθəd,,3,1,textbook,,
1074,cronyism,裙带关系,裙带关系,ˈkroʊniˌɪzəm,,3,1,textbook,,
1075,missouri plan,密苏里方案,密苏里方案,məˈzʊri plæn,,3,1,textbook,,
1076,judicial nominating committee,司法提名委员会,司法提名委员会,ʤuˈdɪʃəl ˈnɑməˌneɪtɪŋ kəˈmɪti,,3,1,textbook,,
1077,retention election,留任选举,留任选举,riˈtɛnʃən ɪˈlɛkʃən,,3,1,textbook,,
1078,removal of judges,法官的免职,法官的免职,rɪˈmuvəl əv ˈʤəʤɪz,,3,1,textbook,,
1079,corruption,腐败,腐败,kərˈəpʃən,,3,1,textbook,,
1080,abuse of power,滥权,滥权,əˈbjuz əv paʊər,,3,1,textbook,,
1081,judicial removal,法官免职,法官免职,ʤuˈdɪʃəl rɪˈmuvəl,,3,2,textbook,,
1082,bribes,受贿,受贿,braɪbz,,3,1,textbook,,
1083,perjury,伪证,伪证,ˈpərʤəri,,3,1,textbook,,
1084,criminal defendant,刑事被告,刑事被告,ˈkrɪmənəl dɪˈfɛndənt,,3,1,textbook,,
1085,censured,谴责,谴责,ˈsɛnʃərd,,3,1,textbook,,
1086,removal of federal judges,联邦法官的免职,联邦法官的免职,rɪˈmuvəl əv ˈfɛdərəl ˈʤəʤɪz,,3,1,textbook,,
1087,impeachment,弹劾,弹劾,ˌɪmˈpiʧmənt,,"3,5",3,textbook,,
1088,removal from office,免职,免职,rɪˈmuvəl frəm ˈɔfəs,,3,1,textbook,,
1089,a pattern of corrupt conduct,多年一贯腐败行为,多年一贯腐败行为,ə ˈpætərn əv kərəpt ˈkɑndəkt,,3,1,textbook,,
1090,try,审判,审判,traɪ,,3,1,textbook,,
1091,non-justiciable political question,不可裁判的政治问题,不可裁判的政治问题,,,3,1,textbook,,
1092,"treason, bribery, or other high crimes and misdemeanors",叛国、贿赂或其他重罪轻罪,叛国、贿赂或其他重罪轻罪,"ˈtrizən, ˈbraɪbəri, ər ˈəðər haɪ kraɪmz ənd ˌmɪsdəˈminərz",,3,1,textbook,,
1093,judicial councils reform and judicial conduct and disability act,司法委员会改革与司法行为残障法,司法委员会改革与司法行为残障法,ʤuˈdɪʃəl ˈkaʊnsɪlz rɪˈfɔrm ənd ʤuˈdɪʃəl ˈkɑndəkt ənd ˌdɪsəˈbɪlɪti ækt,,3,1,textbook,,
1094,disciplinary actions,处分,处分,ˈdɪsəpləˌnɛri ˈækʃənz,,3,1,textbook,,
1095,reprimand,公开申斥,公开申斥,ˈrɛprəˌmænd,,3,2,textbook,,
1096,censure,谴责,谴责,ˈsɛnʃər,,3,2,textbook,,
1097,removal of state judges,州法官的免职,州法官的免职,rɪˈmuvəl əv steɪt ˈʤəʤɪz,,3,1,textbook,,
1098,impeach,弹劾,弹劾,ˌɪmˈpiʧ,,"3,4,6",6,textbook,,
1099,legislative address,立法免职,立法免职,ˈlɛʤəsˌleɪtɪv ˈæˌdrɛs,,3,1,textbook,,
1100,recall,罢免,罢免,ˈriˌkɔl,,3,1,textbook,,
1101,recall petition,罢免请愿书,罢免请愿书,ˈriˌkɔl pəˈtɪʃən,,3,1,textbook,,
1102,judicial conduct board/commission,司法行为委员会,司法行为委员会,,,3,1,textbook,,
1103,misconduct,不当行为,不当行为,mɪˈskɑndəkt,,3,1,textbook,,
1104,williams-yulee v. florida bar,律师协会案；律师协会,律师协会案；律师协会,,,3,2,textbook,,
1105,selection of judges,选任,选任,səˈlɛkʃən əv ˈʤəʤɪz,,3,1,textbook,,
1106,free speech,言论自由,言论自由,fri spiʧ,,3,1,textbook,,
1107,background of the case,案件背景,案件背景,ˈbækˌgraʊnd əv ðə keɪs,,3,1,textbook,,
1108,code of judicial conduct,司法行为准则,司法行为准则,koʊd əv ʤuˈdɪʃəl ˈkɑndəkt,,3,1,textbook,,
1109,county court,县法院,县法院,ˈkaʊnti kɔrt,,3,2,textbook,,
1110,first amendment,第一修正案,第一修正案,fərst əˈmɛndmənt,,"3,5,6,8",25,textbook,,
1111,public reprimand,公开申斥,公开申斥,ˈpəblɪk ˈrɛprəˌmænd,,3,1,textbook,,
1112,ruling in the case,案件裁决,案件裁决,ˈrulɪŋ ɪn ðə keɪs,,3,1,textbook,,
1113,compelling state interest,重大州利益,重大州利益,kəmˈpɛlɪŋ steɪt ˈɪntəˌrɛst,,3,2,textbook,,
1114,campaign contributions,竞选捐款,竞选捐款,kæmˈpeɪn ˌkɑntrəˈbjuʃənz,,3,1,textbook,,
1115,impartial,公正无偏,公正无偏,ˌɪmˈpɑrʃəl,,3,1,textbook,,
1116,analysis of the case,案件评析,案件评析,æˈnælɪsɪs əv ðə keɪs,,3,1,textbook,,
1117,integrity,正直,正直,ˌɪnˈtɛgrəti,,3,1,textbook,,
